symboling,normalized-losses,make,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,horsepower-binned,IsFuelDiesel,IsFuelGas,std,turbo
3,122,alfa-romero,two,convertible,rwd,front,88.6,-0.4383150689245084,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,11.19047619047619,27,13495.0,Low,0,1,1,0
3,122,alfa-romero,two,convertible,rwd,front,88.6,-0.4383150689245084,64.1,48.8,2548,dohc,four,130,mpfi,3.47,2.68,9.0,111,5000.0,11.19047619047619,27,16500.0,Low,0,1,1,0
1,122,alfa-romero,two,hatchback,rwd,front,94.5,-0.24354426084677908,65.5,52.4,2823,ohcv,six,152,mpfi,2.68,3.47,9.0,154,5000.0,12.368421052631579,26,16500.0,Medium,0,1,1,0
2,164,audi,four,sedan,fwd,front,99.8,0.1946900573281152,66.2,54.3,2337,ohc,four,109,mpfi,3.19,3.4,10.0,102,5500.0,9.791666666666666,30,13950.0,Low,0,1,1,0
2,164,audi,four,sedan,4wd,front,99.4,0.1946900573281152,66.4,54.3,2824,ohc,five,136,mpfi,3.19,3.4,8.0,115,5500.0,13.055555555555555,22,17450.0,Low,0,1,1,0
2,122,audi,two,sedan,fwd,front,99.8,0.25149820968412145,66.3,53.1,2507,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,25,15250.0,Low,0,1,1,0
1,158,audi,four,sedan,fwd,front,105.8,1.5012775615162237,71.4,55.7,2844,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,25,17710.0,Low,0,1,1,0
1,122,audi,four,wagon,fwd,front,105.8,1.5012775615162237,71.4,55.7,2954,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500.0,12.368421052631579,25,18920.0,Low,0,1,1,0
1,158,audi,four,sedan,fwd,front,105.8,1.5012775615162237,71.4,55.9,3086,ohc,five,131,mpfi,3.13,3.4,8.3,140,5500.0,13.823529411764707,20,23875.0,Medium,0,1,0,1
2,192,bmw,two,sedan,rwd,front,101.2,0.21092095800126018,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,10.217391304347826,29,16430.0,Low,0,1,1,0
0,192,bmw,four,sedan,rwd,front,101.2,0.21092095800126018,64.8,54.3,2395,ohc,four,108,mpfi,3.5,2.8,8.8,101,5800.0,10.217391304347826,29,16925.0,Low,0,1,1,0
0,188,bmw,two,sedan,rwd,front,101.2,0.21092095800126018,64.8,54.3,2710,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.19047619047619,28,20970.0,Medium,0,1,1,0
0,188,bmw,four,sedan,rwd,front,101.2,0.21092095800126018,64.8,54.3,2765,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.19047619047619,28,21105.0,Medium,0,1,1,0
1,122,bmw,four,sedan,rwd,front,103.5,1.2010058990630559,66.9,55.7,3055,ohc,six,164,mpfi,3.31,3.19,9.0,121,4250.0,11.75,25,24565.0,Medium,0,1,1,0
